"ih_asym","ih_sym"
0.00826337649369366,0.0400577929473815
0.0350858047112209,0.0346270104165397
0.0180977200889886,0.0292301964488414
0.0134107597799449,0.0309666128138498
0.0124962818330564,0.0133753275660146
0.0241105990806336,0.0266011933601407
0.0234313607623845,0.0362566259018094
0.0241714233405252,0.0360063917872385
0.0272175175710372,0.0494469942639741
0.020706225625448,0.0373077747809718
0.0160403532847496,0.0418403750690006
0.0206125759617712,0.0171107894987208
0.0190519513569119,0.0315480688377552
0.0396032812971632,0.0241165889907891
0.0181100659935796,0.0248490301219034
0.0241759980061151,0.0234924678553345
0.0245582245237459,0.030206951888931
0.012405176641071,0.0250707410813695
0.0215953613230939,0.0362026839564185
0.0065907095817363,0.00783410076363778
0.0216395085780157,0.00476785824207284
0.00797364796259467,0.019691843685154
0.0482621196523989,0.0336291789108992
0.0148111190669749,0.0233355266684796
0.0360940254429806,0.0282110956812907
0.019388570436604,0.00939530174985103
0.00887469871352272,0.0265037193800845
0.0145707360766948,0.0338034540337374
0.0236980181620579,0.0363641525420994
0.0222056321029585,0.0422829468351529
0.021541422497515,0.0207146956507616
0.00929955649839678,0.0219047050948949
0.0186504198213599,0.0388335838497178
0.00469928047206532,0.0360003397570417
0.0174698707855281,0.0276162729212906
0.0127478439566295,0.0493700847064712
0.0075961393075485,0.00560408104428876
0.0165724266718328,0.0454739764549595
0.0231449543807108,0.0238280240638241
0.00268881646992496,0.0258229176208126
0.0308402148871962,0.0531983369254037
0.0398381750727032,0.0186744448763605
0.0073828093306765,0.0106008188841065
0.0179870278765006,0.0461884623419761
0.00449355803898583,0.0124560166389023
0.000615238742906869,0.00113876097622532
0.0409299778921185,0.0350366967519762
0.0163719984212627,0.0279673964317988
0.0180520806900926,0.0239200372279899
0.0103334701277472,0.0420546936276976
0.0224107557346436,0.0210257566624708
0.0167985212926761,0.0256182611299974
0.0209853113968854,0.0520898076119234
0.0293308718534254,0.0242018730348204
0.0142509058030205,0.0339822735701513
0.000736594408820444,0.0161885845462334
0.0160670608659305,0.038736786358153
0.0298252343576717,0.029260802449809
0.017127194035702,0.0255882785539801
0.0294075370941023,0.0247427418962705
0.0139155527600529,0.0379160695678368
0.0150791142883531,0.0151754065842413
0.022401868443289,0.0399744789404605
0.0248247654698272,0.055454235364014
0.00882249598349118,0.0131220805510023
0.0241792682001008,0.0241043228244637
0.0130624490980688,0.0264057498972583
0.00994827349896067,0.00774831622057108
0.00842992350210085,0.045123825695044
0.0165789976284549,0.0440905189960138
0.0478541149245844,0.0174769259995275
0.0156463951754034,0.0186145535780778
0.0143444319576955,0.0279161680648608
0.0287234804870177,0.018361049775227
0.0351037476158217,0.035303820984484
0.0263317863461848,0.0712746871901235
0.0164692925851597,0.0239996539392549
0.0033803937855477,0.0189853071022431
0.0204561205568125,0.0381586369982667
0.0228736487140821,0.0217258936604478
0.0190854468932548,0.0189047091007089
0.0116367823550955,0.0192289189475925
0.0399116927856865,0.0388468835483374
0.0112485291674901,0.0271594730211376
0.00694804346088265,0.0139892558994981
0.0234598107056404,0.0526755420786409
0.0122659391748219,0.0137995286698749
0.0128759036029705,0.0538598711961914
0.00870810016225411,0.0273103748015324
0.0214683611703152,0.0295199416859094
0.0247607734883292,0.0287251655311415
0.0268222848293798,0.039443574001881
0.0363929452166505,0.0374317868531278
0.013892343692562,0.0132042388671282
0.0169984180951596,0.0453913925520531
0.0354754743582709,0.0195464068589101
0.00190287093565784,0.0124694433349459
0.0280653567303785,0.0265551262688093
0.00649630210732743,0.0123656347552399
0.0174310530946334,0.0416082628706674
0.013428610126959,0.0313010405010603
0.0115736083856879,0.0293856006796936
0.00647452879256641,0.0204277951368058
0.0319855220009059,0.0197644396677644
0.0125957942581255,0.0508516633917481
0.0339546128047652,0.0124951045721763
0.0141339494553976,0.0400002802736165
0.0186232652869031,0.0365627624637088
0.0341996508576611,0.0483066801418987
0.0129654175495779,0.0226525042093077
0.0226783176535322,0.050449235591835
0.0218793655221081,0.00620478648946241
0.00304889950531019,0.0394399517940637
0.00228215591446056,0.0252777880260953
0.0112865660622056,0.0136817337667381
0.0151094026119207,0.0160454456815976
0.0207467263702144,0.0319322340435887
0.00420235653956045,0.0323169118173593
0.028640898497859,0.0223112730455352
0.00857972997766703,0.0233877466926838
0.00923900679593622,0.0280085152456191
0.0182486724372821,0.0153059164713968
0.0165899319384002,0.0531436742993194
0.0251214258220439,0.0198676670298521
0.0547443688814832,0.0136719635390616
0.00680363643959026,0.00625372793429496
0.00356401868172402,0.00146417129768317
0.0379857349230253,0.0464255038463094
0.0139511721914105,0.0107582178007336
0.0296392247130298,0.0406779852667763
0.0145776464584958,0.0308703428217025
0.0192676108569907,0.0378969178805148
0.0192009906877299,0.0173605163094452
0.0127358553195399,0.0253326580161761
0.00213518585038955,0.00113485592282989
0.0118949495215443,0.0363537116674173
0.0284904326645515,0.0106429655912028
0.0123426496406493,0.0272709497462482
0.0210988862173175,0.0210519158037894
0.0120184317654973,0.0324964543153162
0.051812429290828,0.0178887051443078
0.018802565183513,0.0521872458734624
0.0135433007636821,0.0324837395208969
0.0272907228998333,0.0569904002202647
0.0161827669668703,0.042002744391302
0.0230208848517603,0.033556806594307
0.00464372489051996,0.0240155377672957
0.0259750731421563,0.0308370168737316
0.0385475604832048,0.0183611558517809
0.0139338568148393,0.0280693837476505
0.0102291931405467,0.0245032612685686
